date,action,ticker,security,reason
2014-03-21,remove,WPX,WPX Energy,Market capitalization changes[191]
2014-04-02,add,ESS,Essex Property Trust,Market capitalization changes[190]
2014-04-02,remove,CLF,Cliffs Natural Resources,Market capitalization changes[190]
2014-04-03,add,GOOGL,Google,Google Class C share distribution[189]
2014-05-01,add,NAVI,Navient,Navient Spun off from SLM[188]
2014-05-01,add,UA,Under Armour,Beam acquired by Suntory[188]
2014-05-01,remove,BEAM,Suntory Global Spirits,Beam acquired by Suntory[188]
2014-05-01,remove,SLM,SLM Corporation,Navient Spun off from SLM[188]
2014-05-08,add,AVGO,Avago Technologies,Avago acquires LSI[187]
2014-05-08,remove,LSI,LSI Corporation,Avago acquires LSI[187]
2014-06-20,add,XEC,Cimarex Energy,Market capitalization changes[186]
2014-06-20,remove,IGT,International Game Technology,Market capitalization changes[186]
2014-07-01,add,AMG,Affiliated Managers Group,Actavis acquires Forest Laboratories[185]
2014-07-01,remove,FRX,Forest Laboratories,Actavis acquires Forest Laboratories[185]
2014-07-02,add,MLM,Martin Marietta,Market capitalization changes[184]
2014-07-02,remove,X,United States Steel,Market capitalization changes[184]
2014-08-06,add,DISCK,Discovery Communications,Class C share distribution[183]
2014-08-18,add,MNK,Mallinckrodt,Market cap changes[182]
2014-08-18,remove,RDC,Rowan Companies,Market cap changes[182]
2014-09-20,add,UHS,Universal Health Services,Market cap changes
2014-09-20,add,URI,United Rentals,Market cap changes[181]
2014-09-20,remove,BTU,Peabody Energy,Market cap changes[181]
2014-09-20,remove,GHC,Graham Holdings,Market cap changes
2014-11-05,add,LVLT,Level 3 Communications,Market cap changes[180]
2014-11-05,remove,JBL,Jabil Circuit,Market cap changes[180]
2014-12-05,add,RCL,Royal Caribbean Cruises,Market cap changes[179]
2014-12-05,remove,BMS,Bemis Company,Market cap changes[179]
2015-01-27,add,ENDP,Endo International,Covidien acquired by Medtronic[178]
2015-01-27,add,HCA,HCA Holdings,Safeway acquired by private equity consortium[177]
2015-01-27,remove,COV,Covidien,Covidien acquired by Medtronic[178]
2015-01-27,remove,SWY,Safeway,Safeway acquired by private equity consortium[177]
2015-03-12,add,SWKS,Skyworks,PetSmart acquired by private equity consortium[176]
2015-03-12,remove,PETM,PetSmart,PetSmart acquired by private equity consortium[176]
2015-03-18,add,HSIC,Henry Schein,Carefusion acquired by Becton Dickinson[175]
2015-03-18,remove,CFN,Carefusion,Carefusion acquired by Becton Dickinson[175]
2015-03-23,add,AAL,American Airlines Group,Allergan acquired by Actavis (and changed name to Allergan).[174]
2015-03-23,add,EQIX,Equinix,Market Capitalization Changes.[175]
2015-03-23,add,HBI,Hanesbrands,Market Capitalization Changes.
2015-03-23,add,SLG,SL Green Realty,Market Capitalization Changes.
2015-03-23,remove,AGN,Allergan,Allergan acquired by Actavis (and changed name to Allergan).[174]
2015-03-23,remove,AVP,Avon Products,Market Capitalization Changes.
2015-03-23,remove,DNR,Denbury Resources,Market Capitalization Changes.[175]
2015-03-23,remove,NBR,Nabors Industries,Market Capitalization Changes.
2015-04-07,add,O,Realty Income Corporation,Market capitalization change.[173]
2015-04-07,remove,WIN,Windstream Communications,Market capitalization change.[173]
2015-06-11,add,QRVO,Qorvo,Lorillard gets acquired.[172]
2015-06-11,remove,LO,Lorillard Tobacco Company,Lorillard gets acquired.[172]
2015-07-01,add,BXLT,Baxalta,Baxalta spun off by Baxter.[171]
2015-07-01,add,JBHT,J.B. Hunt,Integrys taken over.[170]
2015-07-01,remove,QEP,QEP Resources,Baxalta spun off by Baxter.[171]
2015-07-01,remove,TEG,Integrys Energy Group,Integrys taken over.[170]
2015-07-02,add,CPGX,Columbia Pipeline Group,Spin off of Columbia Pipeline.[169]
